formattedAddress,googleMapsUri,airport,distanceFromFlightpath,averageAltitude,distanceFromAirport,path_id,latitude,longitude,displayName,editorialSummary
"Tai Lam, Hong Kong",https://maps.google.com/?cid=1161973590744415676,HKG,0.05826465663167477,2662.48,9.716957830701425,HKG0,22.376107599999997,114.04856369999999,Tai Lam Ecological Garden,
"Hong Kong, 大帽山Sin Har Tung Fibreglass RCP (TW-39) at Sin Har Tung",https://maps.google.com/?cid=11377525376693306072,HKG,0.13159743879991692,3854.7702702702704,13.392053315440105,HKG0,22.3946583,114.1029411,川龍塌樹-檸檬桉,
"Tai Mo Shan, Hong Kong",https://maps.google.com/?cid=11840736746298823503,HKG,0.08199641054983546,4471.025316455696,16.402805426471684,HKG0,22.408257799999998,114.148134,大城石澗徑,
"No. 68, Rte Twisk, Chuen Lung, Hong Kong",https://maps.google.com/?cid=7083880225702885876,HKG,0.0010458299749920897,3922.6511627906975,13.68926656819717,HKG0,22.394231800000004,114.1083342,川龍村合掌瓜藤,
"93H6+M4, Ting Kau, Hong Kong",https://maps.google.com/?cid=10112307867181957655,HKG,0.018934512426633056,2855.6666666666665,10.483323706225438,HKG0,22.379228899999998,114.0603563,Angry Ghost Stream,
"929Q+58, Tuen Mun, Hong Kong",https://maps.google.com/?cid=11205668327850897306,HKG,0.23938630356397178,2418.4411764705883,8.87380199881864,HKG0,22.3679375,114.03831249999999,大欖涌觀景點 Tai Lam Chung Viewing Point,
"Tai Mo Shan, Hong Kong",https://maps.google.com/?cid=13873517206464845702,HKG,0.2612070701918341,4493.307692307692,16.837579565767236,HKG0,22.4054344,114.15694289999999,Shing Mun Arboretum,
"Tai Mo Shan, Wilson Trail Sec. 7, Tai Mo Shan, Hong Kong",https://maps.google.com/?cid=8598000239323399656,HKG,0.07687583548144059,4527.340425531915,17.051986470875118,HKG0,22.411272099999998,114.1578184,Lead Mine Pass Campsite,
"Chuen Lung Family Walk, Tai Mo Shan, Hong Kong",https://maps.google.com/?cid=3234861362826256228,HKG,0.06962288893029986,3854.1971830985917,13.51806500510757,HKG0,22.3943856,114.10528079999999,Chuen Lung Family Walk,
"Tai Mo Shan, Hong Kong",https://maps.google.com/?cid=1149397726121379219,HKG,0.21826233405631665,3976.3653846153848,13.897736466837445,HKG0,22.398278899999998,114.10983569999999,扶輪公園自然教育徑牌坊,
"Tai Lam, Hong Kong",https://maps.google.com/?cid=5956398549808589167,HKG,0.0785633967625041,2253.734375,8.134818838900232,HKG0,22.366618799999998,114.0259433,山營 Mountain Camp,
"Tai Lam, Hong Kong",https://maps.google.com/?cid=6924055717231645094,HKG,0.07228802338424838,3500.3061224489797,12.433753684839429,HKG0,22.3892697,114.0890879,上花山,
"Yuen Tsuen Ancient Trail, Ting Kau, Hong Kong",https://maps.google.com/?cid=8732269634191818735,HKG,0.1915661533467604,3242.5862068965516,11.583667904999478,HKG0,22.3868853,114.07546169999999,岔路,
"Tai Mo Shan, Hong Kong",https://maps.google.com/?cid=17837585775113422293,HKG,0.07093953776260531,4182.0,15.172928736940642,HKG0,22.4022602,114.1299186,Wo Yang Shan,
"Tai Mo Shan, Hong Kong",https://maps.google.com/?cid=10041952366968827688,HKG,0.09166502131085766,4121.957142857143,14.701756873295691,HKG0,22.400316399999998,114.12275489999999,小丑石,
"Luen Hong Ln, Tuen Mun, Hong Kong",https://maps.google.com/?cid=17766931601066787746,HKG,0.16122629396551905,2153.0,7.761855902315743,HKG0,22.363685,114.02103,Tai Lam Chung Road Children's Playground,
