formattedAddress,googleMapsUri,airport,distanceFromFlightpath,averageAltitude,distanceFromAirport,path_id,latitude,longitude,displayName,editorialSummary
"Leichhardt Oval, No.2, Glover St, Lilyfield NSW 2040, Australia",https://maps.google.com/?cid=14539505150797051354,SYD,0.15220542884801613,1411.2222222222222,5.5955257930548985,SYD7,-33.8669961,151.15608849999998,Glover’s Community Garden,
"80 Cambridge St, Stanmore NSW 2048, Australia",https://maps.google.com/?cid=1081283275369018592,SYD,0.2117720122373077,777.4782608695652,3.496945513213681,SYD2,-33.896198999999996,151.1668072,Montague Gardens,
"33 London St, Enmore NSW 2042, Australia",https://maps.google.com/?cid=17028913972949853784,SYD,0.20094899652827192,1104.0714285714287,3.3753406001155812,SYD1,-33.897445999999995,151.1716931,London Street Botanical Gardens,
"33B Sirius Rd, Lane Cove West NSW 2066, Australia",https://maps.google.com/?cid=15444250310227536808,SYD,0.16685201642678463,2454.0,9.318229531054776,SYD6,-33.8139289,151.1446983,Dog Park,
"White St, Lilyfield NSW 2040, Australia",https://maps.google.com/?cid=6791984120694431095,SYD,0.14774582599278013,1543.9807692307693,4.656000710274681,SYD3,-33.8791845,151.1674026,White Street,
"Blenheim Rd, North Ryde NSW 2113, Australia",https://maps.google.com/?cid=3178224585243373785,SYD,0.07631306032541309,2808.6222222222223,10.514667290853069,SYD6,-33.797745899999995,151.13615869999998,Myall Reserve,
"316 King St, Mascot NSW 2020, Australia",https://maps.google.com/?cid=3117944821938267041,SYD,0.2759957636574048,507.47058823529414,1.3230448080461403,SYD1,-33.9292757,151.1880268,High Street Reserve,
"Leichhardt NSW 2040, Australia",https://maps.google.com/?cid=10369742492187606284,SYD,0.25986420139846267,1479.25,4.435206330603396,SYD3,-33.8825308,151.166249,Styles Street Reserve,
"201A Trafalgar St, Stanmore NSW 2048, Australia",https://maps.google.com/?cid=1027602394066735957,SYD,0.020990540247621058,795.1724137931035,3.6206938613834505,SYD2,-33.895128199999995,151.1623387,Crammond Park,
"2A Rene St, East Ryde NSW 2113, Australia",https://maps.google.com/?cid=16691996227155516143,SYD,0.12715119071116746,2454.0,9.323910011220159,SYD6,-33.814769,151.1396269,Rafferty Reserve,
